City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.5,85,100,8.14,PN,Mon Nov 13 06:55:59 2023
1,rio grande,-32.035,-52.0986,19.06,97,100,3.39,BR,Mon Nov 13 06:56:00 2023
2,syktyvkar,61.6764,50.8099,-0.05,100,100,3.13,RU,Mon Nov 13 06:56:01 2023
3,port-aux-francais,-49.35,70.2167,5.74,98,100,9.07,TF,Mon Nov 13 06:56:02 2023
4,albany,42.6001,-73.9662,-4.55,88,6,0.89,US,Mon Nov 13 06:55:18 2023
5,utrik,11.2278,169.8474,28.03,82,82,9.36,MH,Mon Nov 13 06:56:04 2023
6,iqaluit,63.7506,-68.5145,-19.06,70,20,6.17,CA,Mon Nov 13 06:56:06 2023
7,pampierstad,-27.7832,24.6877,33.93,7,0,4.65,ZA,Mon Nov 13 06:56:07 2023
8,mili,6.0815,171.735,28.55,81,100,6.41,MH,Mon Nov 13 06:56:08 2023
9,margaret river,-33.95,115.0667,16.66,88,94,5.51,AU,Mon Nov 13 06:56:10 2023
10,holualoa,19.6228,-155.9522,21.54,85,0,2.57,US,Mon Nov 13 06:56:10 2023
11,ambodifotatra,-16.9833,49.85,25.76,72,3,4.84,MG,Mon Nov 13 06:56:12 2023
12,luanda,-8.8368,13.2343,32.0,58,75,3.09,AO,Mon Nov 13 06:53:01 2023
13,kenai,60.5544,-151.2583,-1.62,95,100,2.57,US,Mon Nov 13 06:54:17 2023
14,puerto ayora,-0.7393,-90.3518,24.19,95,94,4.47,EC,Mon Nov 13 06:57:16 2023
15,wailua homesteads,22.0669,-159.378,25.44,80,75,8.23,US,Mon Nov 13 06:52:21 2023
16,al bawiti,28.3492,28.8659,28.11,39,0,5.09,EG,Mon Nov 13 06:57:17 2023
17,iskateley,67.6803,53.1512,-11.66,94,77,2.24,RU,Mon Nov 13 06:57:18 2023
18,kroya,-7.6331,109.2461,26.06,88,78,2.61,ID,Mon Nov 13 06:57:19 2023
19,avarua,-21.2078,-159.775,19.03,82,99,0.51,CK,Mon Nov 13 06:57:19 2023
20,puerto natales,-51.7236,-72.4875,6.25,70,75,4.12,CL,Mon Nov 13 06:55:34 2023
21,edinburgh of the seven seas,-37.0676,-12.3116,14.38,79,64,13.05,SH,Mon Nov 13 06:57:21 2023
22,ovalle,-30.5983,-71.2003,15.12,60,42,0.94,CL,Mon Nov 13 06:57:21 2023
23,ust-nera,64.5667,143.2,-28.18,99,99,1.5,RU,Mon Nov 13 06:57:22 2023
24,ancud,-41.8697,-73.8203,9.17,89,100,7.17,CL,Mon Nov 13 06:57:22 2023
25,riverside,33.7333,-116.0508,16.21,54,0,3.09,US,Mon Nov 13 06:57:24 2023
26,jayapura,-2.5333,140.7,27.66,90,82,3.33,ID,Mon Nov 13 06:57:25 2023
27,udachny,66.4167,112.4,-15.32,94,97,3.23,RU,Mon Nov 13 06:57:25 2023
28,waitangi,-43.9535,-176.5597,13.79,92,96,2.24,NZ,Mon Nov 13 06:57:26 2023
29,tolanaro,-25.0319,46.9987,28.04,69,40,4.12,MG,Mon Nov 13 06:57:27 2023
30,bredasdorp,-34.5322,20.0403,21.12,52,78,8.01,ZA,Mon Nov 13 06:57:27 2023
31,klyuchi,52.2667,79.1667,3.56,96,100,3.84,RU,Mon Nov 13 06:57:28 2023
32,nemuro,43.3236,145.575,3.7,53,50,4.44,JP,Mon Nov 13 06:57:29 2023
33,miracema do tocantins,-9.5618,-48.3967,34.02,34,40,1.35,BR,Mon Nov 13 06:57:29 2023
34,pasil,17.3833,121.1333,18.86,96,61,1.23,PH,Mon Nov 13 06:57:30 2023
35,minas de marcona,-15.2119,-75.1103,14.12,93,93,6.3,PE,Mon Nov 13 06:57:31 2023
36,port alfred,-33.5906,26.891,21.21,69,86,1.79,ZA,Mon Nov 13 06:57:32 2023
37,argo,37.6333,22.7333,20.99,53,22,2.77,GR,Mon Nov 13 06:57:32 2023
38,thompson,55.7435,-97.8558,-0.91,86,100,4.63,CA,Mon Nov 13 06:57:33 2023
39,talnakh,69.4865,88.3972,-10.07,96,99,1.29,RU,Mon Nov 13 06:57:33 2023
40,midvagur,62.0511,-7.1939,8.46,76,40,10.8,FO,Mon Nov 13 06:57:34 2023
41,severo-yeniseyskiy,60.3725,93.0408,-4.12,98,100,0.89,RU,Mon Nov 13 06:57:35 2023
42,grytviken,-54.2811,-36.5092,2.9,96,100,1.43,GS,Mon Nov 13 06:57:35 2023
43,tiksi,71.6872,128.8694,-14.99,89,100,5.22,RU,Mon Nov 13 06:57:36 2023
44,mejit,10.2753,170.8646,28.03,81,91,9.31,MH,Mon Nov 13 06:57:37 2023
45,coquimbo,-29.9533,-71.3436,11.85,87,0,2.06,CL,Mon Nov 13 06:57:37 2023
46,port mathurin,-19.6833,63.4167,26.03,72,2,1.25,MU,Mon Nov 13 06:57:38 2023
47,atafu village,-8.5421,-172.5159,29.16,74,71,3.42,TK,Mon Nov 13 06:57:38 2023
48,vorgashor,67.5833,63.95,-15.05,99,83,2.64,RU,Mon Nov 13 06:57:39 2023
49,whitehorse,60.7161,-135.0538,-7.57,86,20,4.12,CA,Mon Nov 13 06:56:32 2023
50,isafjordur,66.0755,-23.124,4.02,65,40,7.72,IS,Mon Nov 13 06:57:41 2023
51,hithadhoo,-0.6,73.0833,27.61,80,49,4.13,MV,Mon Nov 13 06:57:41 2023
52,hermanus,-34.4187,19.2345,22.26,50,79,9.71,ZA,Mon Nov 13 06:57:42 2023
53,college,64.8569,-147.8028,-6.22,88,100,2.06,US,Mon Nov 13 06:57:43 2023
54,invercargill,-46.4,168.35,10.57,93,98,1.34,NZ,Mon Nov 13 06:57:43 2023
55,sitka,57.0531,-135.33,0.94,80,0,1.54,US,Mon Nov 13 06:57:44 2023
56,tazovsky,67.4667,78.7,-10.0,90,100,10.42,RU,Mon Nov 13 06:57:44 2023
57,fort bragg,35.139,-79.006,4.91,91,0,0.45,US,Mon Nov 13 07:04:43 2023
58,cidreira,-30.1811,-50.2056,21.23,99,100,2.69,BR,Mon Nov 13 07:02:48 2023
59,olbia,40.9214,9.4856,25.03,41,0,8.75,IT,Mon Nov 13 07:04:44 2023
60,homer,59.6425,-151.5483,6.93,71,100,4.47,US,Mon Nov 13 07:04:45 2023
61,anadyr,64.75,177.4833,-5.72,79,20,11.62,RU,Mon Nov 13 07:04:45 2023
62,banda aceh,5.5577,95.3222,26.6,85,98,2.01,ID,Mon Nov 13 07:04:46 2023
63,dudinka,69.4058,86.1778,-9.07,96,99,4.02,RU,Mon Nov 13 07:04:47 2023
64,vilyuchinsk,52.9306,158.4028,-2.26,84,69,2.82,RU,Mon Nov 13 07:04:47 2023
65,longyearbyen,78.2186,15.6401,-8.09,57,75,3.09,SJ,Mon Nov 13 07:04:48 2023
66,shingu,33.7333,135.9833,7.12,80,2,2.96,JP,Mon Nov 13 07:04:48 2023
67,kuanda,56.3161,116.0806,-15.08,85,99,0.29,RU,Mon Nov 13 07:04:49 2023
68,san patricio,28.017,-97.5169,17.13,95,100,5.88,US,Mon Nov 13 07:04:51 2023
69,ola,59.5833,151.2833,-14.77,71,87,5.9,RU,Mon Nov 13 07:04:52 2023
70,bossangoa,6.4926,17.4552,32.52,50,92,1.16,CF,Mon Nov 13 07:04:53 2023
71,yellowknife,62.456,-114.3525,-7.71,100,100,3.09,CA,Mon Nov 13 07:01:27 2023
72,blackmans bay,-43.0167,147.3167,12.63,63,69,0.45,AU,Mon Nov 13 07:04:54 2023
73,engel's,51.5,46.1167,10.69,66,100,2.68,RU,Mon Nov 13 07:04:55 2023
74,sisimiut,66.9395,-53.6735,-9.13,79,34,4.66,GL,Mon Nov 13 07:04:56 2023
75,ilulissat,69.2167,-51.1,-5.99,58,75,6.69,GL,Mon Nov 13 07:04:56 2023
76,bethel,41.3712,-73.414,-0.59,86,0,1.54,US,Mon Nov 13 07:04:57 2023
77,tarauaca,-8.1614,-70.7656,26.16,83,45,1.36,BR,Mon Nov 13 07:04:58 2023
78,al burayqah,30.4062,19.5739,23.87,61,5,6.59,LY,Mon Nov 13 07:04:58 2023
79,talara,-4.5772,-81.2719,21.42,78,0,7.72,PE,Mon Nov 13 07:04:59 2023
80,namibe,-15.1961,12.1522,26.93,64,16,5.08,AO,Mon Nov 13 07:05:01 2023
81,olonkinbyen,70.9221,-8.7187,-3.11,69,96,2.56,SJ,Mon Nov 13 07:05:02 2023
82,west island,-12.1568,96.8225,26.99,83,40,4.12,CC,Mon Nov 13 07:05:04 2023
83,arrifes,37.7667,-25.7,20.14,88,75,3.6,PT,Mon Nov 13 07:05:05 2023
84,barra de santo antonio,-9.4047,-35.5072,28.6,59,91,4.4,BR,Mon Nov 13 07:02:52 2023
85,bilibino,68.0546,166.4372,-17.05,98,100,2.32,RU,Mon Nov 13 07:05:06 2023
86,yemetsk,63.4721,41.7941,-1.65,95,100,5.27,RU,Mon Nov 13 07:05:07 2023
87,las lomitas,-24.7096,-60.593,24.38,85,100,3.48,AR,Mon Nov 13 07:05:08 2023
88,narimanov,46.6927,47.8498,14.97,66,100,3.47,RU,Mon Nov 13 07:05:09 2023
